time,Tmp Husillo [C],Tmp Nozzle [C],Diametro X [mm],Diametro Y [mm],MARCHA,PARO,RPM
2015-20-7-10:10:49,23.9,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:50,23.9,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:51,23.9,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:53,23.9,24.1,1.77,1.74,TRUE,FALSE,3.219
2015-20-7-10:10:54,23.9,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:56,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:57,23.9,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:10:58,23.9,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:0,23.9,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:1,23.9,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:3,23.9,24.1,1.76,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:4,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:5,24,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:7,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:8,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:10,23.9,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:11,23.9,24.1,1.77,1.7,TRUE,FALSE,3.219
2015-20-7-10:11:12,23.9,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:14,23.9,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:15,24,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:17,24,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:18,23.9,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:19,23.9,24.1,1.78,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:21,23.9,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:22,23.9,24.1,1.78,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:24,23.9,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:25,23.9,24.1,1.76,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:26,23.9,24.1,1.77,1.72,TRUE,FALSE,3.219
2015-20-7-10:11:28,23.9,24.1,1.78,1.7,TRUE,FALSE,3.219
2015-20-7-10:11:29,23.9,24.1,1.77,1.71,TRUE,FALSE,3.219
2015-20-7-10:11:31,23.9,24.1,1.77,1.7,TRUE,FALSE,3.219
